text,to,decision,From,year,notes
109.1. Sign and ratify the new Optional Protocol to the Convention on the Rights of the Child on a communications procedure (Slovakia);,azerbaijan,consider,Slovakia,2013,
109.2. Consider the possibility of ratifying the Convention on the Protection of All Persons from Enforced Disappearance (CPED) (Argentina);,azerbaijan,consider,Argentina,2013,
"109.3. Ratify CPED (Brazil, Chile);",azerbaijan,consider,Brazil,2013,
"109.3. Ratify CPED (Brazil, Chile);",azerbaijan,consider,Chile,2013,
109.4. Ratify CPED and recognize the competence of the Committee to receive and examine communications from individuals or those coming from other States (France);,azerbaijan,consider,France,2013,
"109.5. Ratify CPED, the Optional Protocol to the International Covenant on Economic, Social and Cultural Rights (ICESCR) and the Rome Statute of the International Criminal Court (ICC) (Spain);",azerbaijan,consider,Spain,2013,
"109.6. Become a party to CPED, the Rome Statute of the ICC and the Convention against Discrimination in Education (Montenegro);",azerbaijan,consider,Montenegro,2013,
109.7. Take all necessary steps to fully commit to end impunity for international crimes by acceding to the Rome Statute of the ICC and to fully align its national legislation with all obligations under the Rome Statute (Sweden);,azerbaijan,consider,Sweden,2013,
"109.8. Consider the possibility of ratifying the Rome Statute and fully align its national legislation with the obligations  under that instrument, including by incorporating provisions to investigate and prosecute  genocide, crimes against humanity and war crimes by the national courts (Uruguay);",azerbaijan,consider,Uruguay,2013,
109.9. Ratify the Rome Statute of the ICC (Romania);,azerbaijan,consider,Romania,2013,
109.9..1 accede to the Rome Statute of the ICC (Chad);,azerbaijan,consider,Chad,2013,
109.10. Accede to the Rome Statute of the ICC and to the Agreement on the Privileges and Immunities of the ICC (Costa Rica);,azerbaijan,consider,Costa Rica,2013,
109.11. Ratify the Rome Statute of the ICC and extend an open invitation to the special procedures (Guatemala);,azerbaijan,consider,Guatemala,2013,
109.12. Ratify the Rome Statute and ensure that it is fully implemented in national legislation (Switzerland);,azerbaijan,consider,Switzerland,2013,
109.13. Take steps to fully implement the ratified international instruments (Kazakhstan);,azerbaijan,consider,Kazakhstan,2013,
109.14. Continue its ongoing review of national laws to ensure that they are in line with its international human rights law obligations (Turkmenistan);,azerbaijan,consider,Turkmenistan,2013,
109.15. Continue to harmonize its domestic legislation with the international human rights treaties to which it is a party and with the recommendations issued by the Treaty Bodies (Nicaragua);,azerbaijan,consider,Nicaragua,2013,
109.16. Consider reviewing its domestic legislation on migration with the aim of aligning it with the international laws and standards (Philippines);,azerbaijan,consider,Philippines,2013,
"109.17. Continue the efforts made in the implementation of the recommendations made in the first UPR, as well as the current UPR (Libya);",azerbaijan,consider,Libya,2013,
109.18. Continue its valuable contributions for the strengthening of inter-civilization and inter-cultural dialogue (Pakistan);,azerbaijan,consider,Pakistan,2013,
109.19. Maintain its effective cooperation with the Council’s special procedure mandate holders (Egypt);,azerbaijan,consider,Egypt,2013,
109.19..1 continue its existing fruitful cooperation with the system of United Nations human rights mechanisms (Pakistan);,azerbaijan,consider,Pakistan,2013,
"109.19..2 continue its fruitful cooperation with United Nations human rights mechanisms, including the special procedures (Russian Federation);",azerbaijan,consider,Russia,2013,
109.20. Extend a standing invitation to all thematic special procedures (Montenegro);,azerbaijan,consider,Montenegro,2013,
109.20..1 issue a standing invitation to United Nations rapporteurs (Hungary);,azerbaijan,consider,Hungary,2013,
109.21. Invite the Special Rapporteur on the rights to freedom of peaceful assembly and of association to visit the country (Austria);,azerbaijan,consider,Austria,2013,
109.22. Pursue the implementation of legislative reforms (Saudi Arabia);,azerbaijan,consider,Saudi Arabia,2013,
109.23. Adopt the relevant legal texts and set up monitoring mechanisms to ensure their implementation (Saudi Arabia);,azerbaijan,consider,Saudi Arabia,2013,
"109.24. Continue with its adoption of relevant normative legal acts aimed at upholding the constitutional rights and liberties of the citizens of Azerbaijan, as well as the establishment of control measures for their efficient realization (Nigeria);",azerbaijan,consider,Nigeria,2013,
"109.25. Continue to improve national laws and institutions, in particular in the field of protecting the human rights of women and children (Afghanistan);",azerbaijan,consider,Afghanistan,2013,
109.26. Revise the Law on non-governmental organizations to comply fully with international human rights law (Austria);,azerbaijan,consider,Austria,2013,
109.27. Revise the 2009 Law on non-governmental organizations so as to ensure that it complies with international human rights law (Ireland);,azerbaijan,consider,Ireland,2013,
"109.28. Harmonize national legislation governing registration and funding of NGOs with the Venice Commission recommendations, with a view to ensuring a free and open space for its civil society (Slovakia);",azerbaijan,consider,Slovakia,2013,
"109.29. Work with the legislature, as well as domestic and international organizations, to amend legislation in order to promote a flourishing civil society (United States of America);",azerbaijan,consider,United States,2013,
109.30. Continue the efforts to strengthen the national institutions for the promotion and protection of human rights and freedoms (Uzbekistan);,azerbaijan,consider,Uzbekistan,2013,
"109.31. Enhance the role of the Ombudsman and take measures providing for the effective implementation of its functions as a national preventive mechanism in accordance with the Optional Protocol to the Convention against Torture and Other Cruel, Inhuman or Degrading Treatment or Punishment (Bulgaria);",azerbaijan,consider,Bulgaria,2013,
109.32. Continue to pay attention to the protection of political rights and civil freedoms (Yemen);,azerbaijan,consider,Yemen,2013,
109.33. Continue to intensify its efforts in further strengthening the good governance and rule-based state with more focus on capacity-building for national agencies and law enforcement authorities on human rights protection and promotion (Viet Nam);,azerbaijan,consider,Vietnam,2013,
109.34. Continue the practice of implementing the National Action Programme aimed at improving the human rights situation on the ground (Turkmenistan);,azerbaijan,consider,Turkmenistan,2013,
"109.35. Involve all stakeholders, including civil society in the implementation of the National Action Plan, in order to ensure its success (United Arab Emirates)  );",azerbaijan,consider,United Arab Emirates,2013,
