text,to,decision,From,year
96.1  Sign the Optional Protocol to the Convention against Torture (France);,afghanistan,consider,France,2009
96.11.2 take necessary measures aimed at prohibiting all forms of corporal punishment against children (Brazil);,azerbaijan,consider,Brazil,2009
96.11.3 step up its social integration policies and education programmes to eradicate the current situation of children living on the street who are victims of sexual exploitation and physical abuse (Argentina);,azerbaijan,consider,Argentina,2009
"96.12   Take concrete measures to ensure necessary resources to increase effectiveness  in the protection of rights of the child, including through effective monitoring of conditions in institutional care and establishing of a complaint mechanism for  children, to develop and adjust new mechanisms for the protection of children based on serious research and wide piloting, and to create mechanisms to deliver foster care services (Czech Republic);",azerbaijan,consider,Czech Republic,2009
96.12.1 Take adequate measures to further defend children’s rights (Hungary);,azerbaijan,consider,Hungary,2009
96.13   Ensure the effective implementation of the National Action Plan against Trafficking and to provide the necessary assistance to the victims of trafficking (Estonia);,azerbaijan,consider,Estonia,2009
96.14   Consider modifying or repealing the criminal legislation on defamation to take away the possibility of depriving anyone of his or her liberty on account of opinions (Netherlands);,azerbaijan,consider,Netherlands,2009
96.14.1 Change the criminal legislation provisions on defamation to eliminate unnecessary pressure on journalists fulfilling their professional duties (Lithuania);,azerbaijan,consider,Lithuania,2009
96.14.2 Ensure that the Law of Libel is not utilised in such a manner as to stifle honest and professional reporting (Ireland);,azerbaijan,consider,Ireland,2009
"96.15   Ensure that all branches of the State, including agents of public authorities, fully respects and promotes the freedom of expression (Sweden);",azerbaijan,consider,Sweden,2009
"96.15.1 ensure the full exercise of freedom of expression and of the freedom of all independent media, both national and foreign ones, regardless to their nature: press, internet, radio or television (France);",azerbaijan,consider,France,2009
96.15.2 Take effective measures to ensure the full realisation of the right to freedom of expression (Poland);,azerbaijan,consider,Poland,2009
96.15.3 Continue to work in earnest to address some of the legitimate concerns in regard to the freedom of media (Bangladesh);,azerbaijan,consider,Bangladesh,2009
96.15.4 Put in place further measures to ensure respect for freedom of expression and of the media (Ireland);,azerbaijan,consider,Ireland,2009
96.15.5 Fully uphold media freedom in accordance with international obligations (Sweden);,azerbaijan,consider,Sweden,2009
96.15.6 Ensure that its media regulations promote diversity among media outlets in line with international standards and best practices  (Norway);,azerbaijan,consider,Norway,2009
"96.16   Effectively investigate and prosecute crimes and violations against journalists and human rights defenders, and that those responsible are punished  (Norway);",azerbaijan,consider,Norway,2009
96.16.1 That complaints of harassment of journalists and human rights defenders receive prompt response and that adequate measures for their safety are taken  (Norway);,azerbaijan,consider,Norway,2009
96.16.2 Discourage State officials from continuing the current practice of instituting lawsuit against journalists and human rights defenders that publish criticism (Norway);,azerbaijan,consider,Norway,2009
96.16.3 that all journalists remaining in detention on the basis of misuse of criminal libel or defamation trials be released (United Kingdom);,azerbaijan,consider,United Kingdom,2009
