text,to,decision,from,year
"1 Re-establish the moratorium on executions and beyond that, consider final abolition of the death penalty (France);",afghanistan,reject,France,2014
2 Consider adoption of a moratorium on executions with a view to abolishing the death penalty (Italy);,afghanistan,reject,Italy,2014
3 Establish an immediate official moratorium on the use of the death penalty with a view to abolishing it (Montenegro);,afghanistan,reject,Montenegro,2014
4 Establish a moratorium in the use of the death penalty as a preliminary step to its definitive abolition (Spain);,afghanistan,reject,Spain,2014
5 Establish a moratorium on executions with a view to removing the death penalty from its criminal statutes and ratifying the Second Optional Protocol to the International Covenant on Civil and Political Rights (Australia);,afghanistan,reject,Australia,2014
6 Reintroduce a moratorium on executions with a view to the abolition of capital punishment (Czech Republic);,afghanistan,reject,Czech Republic,2014
"7 Re-establish a moratorium to executions, with a view to the final abolition of the death penalty, and ratify the Second Optional Protocol to ICCPR (Uruguay);",afghanistan,reject,Uruguay,2014
8 Consider a formal moratorium on executions of all persons condemned with the death penalty and examine the possibility of abolishing the death penalty (Argentina);,afghanistan,reject,Argentina,2014
9 Reintroduce the moratorium on executions as a first step towards the abolition of the death penalty (Sweden);,afghanistan,reject,Sweden,2014
10 Abolish the practice of prosecuting women for moral crimes” (New Zealand);,afghanistan,reject,New Zealand,2014
11 Ensure non-discrimination on the basis of sexual orientation and gender identity and repeal the provisions of the penal code which criminalise sexual relations between consenting adults of the same sex (Norway);,afghanistan,reject,Norway,2014
12 Put an end to the practice of criminal prosecutions for moral crimes against women who have fled their home (France). );,afghanistan,reject,France,2014
"1 Review national legislation to ensure that all persons under 18 have the protections accorded by the Convention on the Rights of the Child, including clarifying the definition of the child (Costa Rica);",albania,consider,Costa Rica,2014
2 Strengthen monitoring mechanisms which address incidents of forced child labour and further combat the trafficking of children (Sierra Leone);,albania,consider,Sierra Leone,2014
3 Take the necessary measures and adopt the laws that are needed to allow better protection of children’s rights (Switzerland);,albania,consider,Switzerland,2014
"4 Continue strengthening measures which favour full gender equality, paying special attention to the integration of women into the labour market without discrimination, in line with the measures established in the 2013 European Union Progress Report (Spain);",albania,consider,Spain,2014
"5 Develop programmes and policies that foster norms and attitudes of zero tolerance for harmful and discriminatory attitudes towards gender, including the preference for sons, which can result in harmful and unethical practices such as prenatal sex selection (Netherlands);",albania,consider,Netherlands,2014
"6 Ensure strict implementation of its new legislation on discrimination, as well as adopt new provisions prohibiting also discrimination based on nationality (Switzerland);",albania,consider,Switzerland,2014
"7 End the discriminations against the Roma and Egyptian communities, and grant minority status to the Egyptian community (Switzerland);",albania,consider,Switzerland,2014
"8 Devote primary attention to the protection of the children involved in episodes of blood feud, so as to ensure the full protection and enjoyment of their rights (Italy);",albania,consider,Italy,2014
"9 Given the deep-rooted traditions of the Albanian society, adopt an appropriate regulation relating to acts of vendetta/blood feud in the family and ensure that the perpetrators of such crimes are punished (Congo);",albania,consider,Congo,2014
10 Implement more efficiently the existing laws which prohibit the corporal punishment of children (Spain);,albania,consider,Spain,2014
"11 Continue with efforts to combat violence against women and take additional measures to reduce violence by addressing the reasons for the withdrawal of many protection order petitions in cases of domestic violence, and ensuring that all reports of domestic violence are thoroughly investigated and that the perpetrators are brought to justice in accordance with the law (Canada);",albania,consider,Canada,2014
"12 Further reinforce its legislation to combat internal and cross-border trafficking in persons, by revising the Criminal Code to adequately sanction the perpetrators of trafficking and exploitation of the victims of trafficking (Ireland);",albania,consider,Ireland,2014
